"564","Alex Len","Sac","C","29.8","26","6.2","14.1","34.6","16","0.688","28","0.571","2","0","0.533","0.58","1.7","2.3","0.5","0.2","0.4","0.6","4","2.1","4.4","8.1","111","98.9"
"565","Dylan Windler","Cle","G-F","26.5","3","3.5","17.2","25","0","0","1","1","2","0.5","0.833","0.833","1.7","0","0.3","0.3","0","0.3","1.7","2","2","0","",""
"566","Buddy Boeheim","Det","F","23.4","10","9","13.2","0","2","1","2","0.5","25","0.16","0.259","0.287","1.6","0.6","0.4","0.2","0","0","2.2","2","2.6","3.2","77.1","118.2"
"567","Tony Bradley","Chi","C-F","25.3","12","2.8","19.6","7.4","4","1","7","0.429","5","0.6","0.625","0.69","1.6","0.9","0.1","0.1","0.1","0.1","2.5","1.7","2.6","7.5","",""
"568","JD Davison","Bos","G","20.5","12","5.5","15.9","17.2","2","0.5","12","0.5","7","0.286","0.474","0.478","1.6","0.8","0.9","0.2","0.2","0.3","2.3","2.5","3.3","7.6","104.2","107.3"
"569","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"570","Kendall Brown","Ind","G","19.9","6","6.7","10.3","21.7","2","0.5","6","0.667","1","0","0.571","0.571","1.5","1","0.5","0.7","0","0.3","2.5","2","3","5.4","109.3","95.6"
"571","Matthew Dellavedova","Sac","G","32.6","32","6.7","12.7","16.6","7","0.571","23","0.348","27","0.333","0.43","0.443","1.5","0.4","1.3","0.2","0","0.3","1.9","2.8","3.2","5.5","104.4","111.1"
"572","Keon Ellis","Sac","G","23.3","16","4.4","12.2","5.8","7","0.571","4","0.25","12","0.5","0.625","0.629","1.5","0.5","0.4","0.3","0.1","0.1","2","1.9","2.4","6.1","138.6","103.8"
"573","Mfiondu Kabengele","Bos","F-C","25.7","4","9.1","10.7","11.8","2","1","4","0.5","3","0","0.286","0.381","1.5","2.5","0","0.5","0","0.3","4","1.5","4","0","105","104.3"
